Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0
1e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,3.226548157716931e-19,3.226549931445385e-19,1.874961758676144e-34,6.37983062516954e-45
3.0000000000000002e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,7.967596222237974e-19,7.967605181611833e-19,9.413075124367412e-34,5.39030663924874e-44
7e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0873769216867664e-18,2.0873824543631408e-18,5.793254476191218e-33,8.423987710238529e-43
1.5e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.6686057762947714e-18,4.668632071084989e-18,2.7496948684764096e-32,8.327388777076516e-42
3.1e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,9.831040508341316e-18,9.83115428169815e-18,1.189037521118813e-31,7.30613639132148e-41
6.300000000000001e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0155818064574677e-17,2.0156290610784202e-17,4.937167300890071e-31,6.106431636835804e-40
1.2700000000000001e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.080500555214746e-17,4.0806930893850245e-17,2.011353858955445e-30,4.990754922413765e-39
2.55e-13,0.08314472000000002,0.0,0.0,0.0,0.0,0.67,0.32999999999999996,8.210191008007529e-17,8.210968190720002e-17,8.118782311807359e-30,4.0351190096148943e-38
5.11e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999999,0.3299999999999999,1.6468983776589422e-16,1.647210653039363e-16,3.2623131963439474e-29,3.245238895611278e-37
1e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2242321853773955e-16,3.225441810921278e-16,1.2638666333010857e-28,2.5008438360451877e-36
1.023e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2984217100758093e-16,3.299673542273597e-16,1.3079680897721161e-28,2.6032065329145813e-36
2.047e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999995,0.3299999999999994,6.600527757650858e-16,6.605539938000742e-16,5.238601117165276e-28,2.0856112753610374e-35
4.095e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999988,0.32999999999999874,1.3200979526060575e-15,1.3221033056195368e-15,2.097298560031289e-27,1.6700884733618376e-34
8.191e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999975,0.3299999999999974,2.6386858874767904e-15,2.6467043480696564e-15,8.397003137047647e-27,1.3373190684614503e-33
1e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999969,0.3299999999999968,3.21971669361873e-15,3.233038986257152e-15,1.397047589242841e-26,3.407763239600345e-33
1.6383e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999948,0.32999999999999474,5.2698657459150256e-15,5.301902444273062e-15,3.3636300435046083e-26,1.071326083184996e-32
3.2767e-11,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999895,0.3299999999999894,1.0508350233165145e-14,1.0636173866305975e-14,1.3490203090103866e-25,8.591972344110468e-32
6.5535e-11,0.08314471999999998,0.0,0.0,0.0,0.0,0.669999999999979,0.32999999999997864,2.089068095038992e-14,2.139935496764623e-14,5.42386273779011e-25,6.906690032893463e-31
9.8303e-11,0.08314471999999996,0.0,0.0,0.0,0.0,0.6699999999999684,0.32999999999996776,3.117922827913734e-14,3.225631945746279e-14,1.1566120198850357e-24,1.9802670626500497e-30
9.999999999999999e-11,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999678,0.3299999999999672,3.17072419514604e-14,3.282339653087036e-14,1.1992203420785645e-24,2.09456057509957e-30
1.31071e-10,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999579,0.32999999999995683,4.137483936616284e-14,4.3206220189000217e-14,1.9793518558529506e-24,4.1872027231956574e-30
1.96607e-10,0.08314471999999985,0.0,0.0,0.0,0.0,0.6699999999999368,0.3299999999999347,6.155054382662567e-14,6.532153936566071e-14,4.119639914281563e-24,1.1482862335017544e-29
2.62143e-10,0.08314471999999976,0.0,0.0,0.0,0.0,0.6699999999999157,0.3299999999999123,8.139141552807638e-14,8.777169130132933e-14,7.041208007820453e-24,2.4111468557211976e-29
3.2767900000000004e-10,0.08314471999999963,0.0,0.0,0.0,0.0,0.6699999999998946,0.32999999999988955,1.0087903072219001e-13,1.1057509974433062e-13,1.0811356248004024e-23,4.4051354908409116e-29
4.5875100000000005e-10,0.08314471999999926,0.0,0.0,0.0,0.0,0.6699999999998523,0.3299999999998428,1.3880845388896618e-13,1.5722772385177034e-13,2.1026347302387374e-23,1.174246783207119e-28
7.208950000000001e-10,0.08314471999999822,0.0,0.0,0.0,0.0,0.6699999999997677,0.3299999999997456,2.1070418297436395e-13,2.5449608931474575e-13,5.249676762341921e-23,4.636290901586092e-28
9.498953705309675e-10,0.08314471999999694,0.0,0.0,0.0,0.0,0.6699999999996937,0.32999999999965646,2.6936085663600644e-13,3.4361560100197834e-13,9.241969956498189e-23,1.0490993936147086e-27
9.999999999999999e-10,0.08314471999999534,0.0,0.0,0.0,0.0,0.6699999999996775,0.3299999999996366,2.817138077297068e-13,3.6359565877670295e-13,1.0277291456968867e-22,1.2261229135056341e-27
1.1788957410619349e-09,0.08314471999999534,0.0,0.0,0.0,0.0,0.6699999999996198,0.3299999999995638,3.2441035008443016e-13,4.3634229290236287e-13,1.4447894261271286e-22,2.001498131187175e-27
1.4078961115929022e-09,0.08314471999999351,0.0,0.0,0.0,0.0,0.6699999999995458,0.3299999999994677,3.760607014882213e-13,5.324681268473099e-13,2.0910843056139727e-22,3.41109240609467e-27
1.6368964821238696e-09,0.08314471999999137,0.0,0.0,0.0,0.0,0.6699999999994719,0.32999999999936835,4.245200194323193e-13,6.317849942518762e-13,2.8674312386308887e-22,5.376930755987154e-27
2.094897223185804e-09,0.08314471999998643,0.0,0.0,0.0,0.0,0.6699999999993241,0.3299999999991609,5.125432808953353e-13,8.393141034859563e-13,4.824462573972045e-22,1.1345783667772264e-26
2.507097890141545e-09,0.08314471999998119,0.0,0.0,0.0,0.0,0.6699999999991911,0.3299999999989649,5.826569552156253e-13,1.03519756279277e-12,7.068358691523833e-22,1.9644866680027308e-26
2.919298557097286e-09,0.08314471999997534,0.0,0.0,0.0,0.0,0.6699999999990581,0.32999999999876145,6.451733997173584e-13,1.2386782519178537e-12,9.790995472087478e-22,3.1412522322256344e-26
3.331499224053027e-09,0.08314471999996893,0.0,0.0,0.0,0.0,0.6699999999989251,0.3299999999985511,7.009345185923359e-13,1.448914266669392e-12,1.3009996235790006e-21,4.73422685788111e-26
3.743699891008768e-09,0.083144719999962,0.0,0.0,0.0,0.0,0.6699999999987921,0.3299999999983349,7.506633484653738e-13,1.665182570422556e-12,1.6740495812577113e-21,6.814471403938659e-26
4.155900557964509e-09,0.08314471999995461,0.0,0.0,0.0,0.0,0.6699999999986591,0.32999999999811325,7.950031678986532e-13,1.8868398846151527e-12,2.0995957536262227e-21,9.454685301116387e-26
4.56810122492025e-09,0.08314471999994685,0.0,0.0,0.0,0.0,0.6699999999985261,0.3299999999978868,8.345353921441042e-13,2.1133047939952433e-12,2.5788548171949613e-21,1.2729286563273998e-25
4.980301891875991e-09,0.08314471999993872,0.0,0.0,0.0,0.0,0.6699999999983931,0.32999999999765595,8.697829151777489e-13,2.3440544045867973e-12,3.112920874550434e-21,1.6714367651701503e-25
5.804703225787473e-09,0.08314471999992153,0.0,0.0,0.0,0.0,0.6699999999981271,0.32999999999718344,9.292432025070283e-13,2.816588384506853e-12,4.3492803531926386e-21,2.7127197923662654e-25
6.629104559698955e-09,0.08314471999990336,0.0,0.0,0.0,0.0,0.6699999999978611,0.3299999999966988,9.765329260239803e-13,3.301292928237783e-12,5.815260976760619e-21,4.1328532307316124e-25
7.453505893610438e-09,0.08314471999988436,0.0,0.0,0.0,0.0,0.6699999999975951,0.3299999999962044,1.0141382354722836e-12,3.795681886035873e-12,7.516061399686812e-21,5.997040072058867e-25
8.27790722752192e-09,0.08314471999986472,0.0,0.0,0.0,0.0,0.6699999999973291,0.3299999999957023,1.0440335169897122e-12,4.297780871763325e-12,9.455808423952493e-21,8.371772708659523e-25
9.102308561433402e-09,0.0831447199998446,0.0,0.0,0.0,0.0,0.6699999999970631,0.3299999999951941,1.0677954291902229e-12,4.806013226806163e-12,1.1637795983473173e-20,1.1324559819579377e-24
9.926709895344884e-09,0.08314471999982405,0.0,0.0,0.0,0.0,0.669999999996797,0.3299999999946809,1.0866827447379614e-12,5.319120178500231e-12,1.406465250233657e-20,1.4923728573520105e-24
