Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,3.226548157716931e-19,3.226549931445385e-19,1.874961758676144e-34,6.379830625153137e-45,1.640276469746687e-56,1.2003718590475827e-56
3.0000000000000002e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,7.967596222237974e-19,7.967605181611833e-19,9.413075124367412e-34,5.390306639227918e-44,2.0821471006533514e-55,1.5237375113996979e-55
7e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0873769216867664e-18,2.0873824543631408e-18,5.793254476191218e-33,8.423987710149813e-43,8.871559951825895e-54,6.492302430976232e-54
1.5e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.6686057762947714e-18,4.668632071084989e-18,2.7496948684764096e-32,8.327388776896365e-42,1.801515912601279e-52,1.3183686073601906e-52
3.1e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,9.831040508341316e-18,9.83115428169815e-18,1.189037521118813e-31,7.306136391002917e-41,3.185644197225963e-51,2.331288485685791e-51
6.300000000000001e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0155818064574677e-17,2.0156290610784202e-17,4.937167300890071e-31,6.1064316363015526e-40,5.3425152877829845e-50,3.9097098118386866e-50
1.2700000000000001e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.080500555214746e-17,4.0806930893850245e-17,2.011353858955445e-30,4.9907549215391295e-39,8.746349531039102e-49,6.400672106075409e-49
2.55e-13,0.08314472000000002,0.0,0.0,0.0,0.0,0.67,0.32999999999999996,8.210191008007529e-17,8.210968190720002e-17,8.118782311807359e-30,4.0351190081995035e-38,1.4153905631802066e-47,1.0357979479947834e-47
5.11e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999999,0.3299999999999999,1.6468983776589422e-16,1.647210653039363e-16,3.2623131963439474e-29,3.2452388933337715e-37,2.2775060796722376e-46,1.6667033009158728e-46
1e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2242321853773955e-16,3.225441810921278e-16,1.2638666333010857e-28,2.5008438325445933e-36,3.500595246814259e-45,2.56177303079773e-45
1.023e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2984217100758093e-16,3.299673542273597e-16,1.3079680897721161e-28,2.6032065292600493e-36,3.65453272471504e-45,2.6744261230599822e-45
2.047e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999995,0.3299999999999994,6.600527757650858e-16,6.605539938000742e-16,5.238601117165276e-28,2.0856112695047133e-35,5.856324105925421e-44,4.285720596932345e-44
4.095e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999988,0.32999999999999874,1.3200979526060575e-15,1.3221033056195368e-15,2.097298560031289e-27,1.6700884639823902e-34,9.379447609531159e-43,6.863980043264921e-43
8.191e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999975,0.3299999999999974,2.6386858874767904e-15,2.6467043480696564e-15,8.397003137047647e-27,1.3373190534402559e-33,1.502119469949522e-41,1.0992670873932595e-41
1e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999969,0.3299999999999968,3.21971669361873e-15,3.233038986257152e-15,1.397047589242841e-26,3.4077631747517606e-33,6.484858517496674e-41,4.745688786304703e-41
1.6383e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999948,0.32999999999999474,5.2698657459150256e-15,5.301902444273062e-15,3.3636300435046083e-26,1.0713260591186988e-32,2.406629762224706e-40,1.761197386322661e-40
3.2767e-11,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999895,0.3299999999999894,1.0508350233165145e-14,1.0636173866305975e-14,1.3490203090103866e-25,8.591971958117406e-32,3.8599306119932624e-39,2.824738473572491e-39
6.5535e-11,0.08314471999999998,0.0,0.0,0.0,0.0,0.669999999999979,0.32999999999997864,2.089068095038992e-14,2.139935496764623e-14,5.42386273779011e-25,6.906689412421735e-31,6.20471727607332e-38,4.540678381386278e-38
9.8303e-11,0.08314471999999996,0.0,0.0,0.0,0.0,0.6699999999999684,0.32999999999996776,3.117922827913734e-14,3.225631945746279e-14,1.1566120198850357e-24,1.9802668337700287e-30,2.2888002052169254e-37,1.6749684327101691e-37
9.999999999999999e-11,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999678,0.3299999999999672,3.17072419514604e-14,3.282339653087036e-14,1.1992203420785645e-24,2.0945603279505947e-30,2.471489747148878e-37,1.8086625894105715e-37
1.31071e-10,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999579,0.32999999999995683,4.137483936616284e-14,4.3206220189000217e-14,1.9793518558529506e-24,4.18720214155365e-30,5.8164200696991e-37,4.256518301159671e-37
1.96607e-10,0.08314471999999985,0.0,0.0,0.0,0.0,0.6699999999999368,0.3299999999999347,6.155054382662567e-14,6.532153936566071e-14,4.119639914281563e-24,1.1482860294222596e-29,2.04079494680814e-36,1.4934755098360947e-36
2.62143e-10,0.08314471999999976,0.0,0.0,0.0,0.0,0.6699999999999157,0.3299999999999123,8.139141552807638e-14,8.777169130132933e-14,7.041208007820453e-24,2.411146344393178e-29,5.1132801984510164e-36,3.741952952260523e-36
3.2767900000000004e-10,0.08314471999999963,0.0,0.0,0.0,0.0,0.6699999999998946,0.32999999999988955,1.0087903072219001e-13,1.1057509974433062e-13,1.0811356248004024e-23,4.4051344030285915e-29,1.0878123202052268e-35,7.960726429632776e-36
4.5875100000000005e-10,0.08314471999999926,0.0,0.0,0.0,0.0,0.6699999999998523,0.3299999999998428,1.3880845388896618e-13,1.5722772385177034e-13,2.1026347302387374e-23,1.1742463811614112e-28,4.02045707804419e-35,2.9422132324117506e-35
7.208950000000001e-10,0.08314471999999822,0.0,0.0,0.0,0.0,0.6699999999997677,0.3299999999997456,2.1070418297436395e-13,2.5449608931474575e-13,5.249676762341921e-23,4.636288299946157e-28,2.6016399339055866e-34,1.9039076641640381e-34
9.568246000000002e-10,0.08314471999999688,0.0,0.0,0.0,0.0,0.6699999999996915,0.3299999999996538,2.7108164261975113e-13,3.463663147628244e-13,9.382141385976369e-23,1.0733849012474524e-27,7.628193189619934e-34,5.5823924036241124e-34
9.999999999999999e-10,0.08314471999999525,0.0,0.0,0.0,0.0,0.6699999999996775,0.3299999999996365,2.8171681392046835e-13,3.635926525859414e-13,1.0277925347008221e-22,1.227337148444238e-27,9.108459019273438e-34,6.665666536941218e-34
1.1927542000000001e-09,0.08314471999999525,0.0,0.0,0.0,0.0,0.6699999999996153,0.32999999999955804,3.276346755873716e-13,4.420609668885988e-13,1.480369614920231e-22,2.0745311433866544e-27,1.7831880671506777e-33,1.3049558363512326e-33
1.4286838e-09,0.08314471999999332,0.0,0.0,0.0,0.0,0.6699999999995392,0.3299999999994587,3.805935690804259e-13,5.413497584888648e-13,2.1562384340380766e-22,3.567401692088358e-27,3.581178018801882e-33,2.620743770252323e-33
1.6646134e-09,0.0831447199999911,0.0,0.0,0.0,0.0,0.669999999999463,0.32999999999935603,4.3018444622482027e-13,6.440065664377119e-13,2.9705471915957115e-22,5.660389970124417e-27,6.488528941043643e-33,4.748373642170272e-33
2.1364726e-09,0.08314471999998593,0.0,0.0,0.0,0.0,0.6699999999993108,0.32999999999914137,5.200032179913776e-13,8.586831648573895e-13,5.029991644463961e-22,1.2054212184077269e-26,1.7162983602678911e-32,1.2560051009502642e-32
2.5611458800000002e-09,0.08314471999998047,0.0,0.0,0.0,0.0,0.6699999999991738,0.32999999999893864,5.91282433811229e-13,1.061449782204847e-12,7.397987869100986e-22,2.0987793020629648e-26,3.5082309073737524e-32,2.5673599779587577e-32
2.9858191600000003e-09,0.08314471999997437,0.0,0.0,0.0,0.0,0.6699999999990368,0.3299999999987279,6.546204476077662e-13,1.2721576015753127e-12,1.0276704453237692e-21,3.369603754572134e-26,6.463215261697067e-32,4.729848170194352e-32
3.4104924400000004e-09,0.08314471999996764,0.0,0.0,0.0,0.0,0.6699999999988998,0.32999999999851015,7.109227568134366e-13,1.489901125536323e-12,1.3685095778181064e-21,5.094122259127302e-26,1.1036361039665844e-31,8.076523536621764e-32
3.8351657200000005e-09,0.08314471999996041,0.0,0.0,0.0,0.0,0.6699999999987628,0.3299999999982861,7.609618586774657e-13,1.713907856838639e-12,1.763933184504479e-21,7.350503201499039e-26,1.7772206947150026e-31,1.3005885038209052e-31
4.2598390000000006e-09,0.08314471999995272,0.0,0.0,0.0,0.0,0.6699999999986258,0.32999999999805657,8.054225884901318e-13,1.9434929601919705e-12,2.215374548503271e-21,1.0218689418913281e-25,2.7299180950257397e-31,1.9977822634420655e-31
4.684512280000001e-09,0.08314471999994459,0.0,0.0,0.0,0.0,0.6699999999984888,0.329999999997822,8.449224676635989e-13,2.1780389141841426e-12,2.7241258604257973e-21,1.378050692998041e-25,4.033231781699279e-31,2.9515606007331853e-31
5.109185560000001e-09,0.08314471999993614,0.0,0.0,0.0,0.0,0.6699999999983518,0.3299999999975831,8.800171933511981e-13,2.416990021661815e-12,3.2913498167986496e-21,1.811958484753189e-25,5.767333530004807e-31,4.220594031348698e-31
5.958532120000001e-09,0.08314471999991825,0.0,0.0,0.0,0.0,0.6699999999980778,0.32999999999709384,9.389161488676439e-13,2.906182732474782e-12,4.605242871224162e-21,2.947152814911519e-25,1.0895525395045937e-30,7.973457261879005e-31
6.807878680000001e-09,0.08314471999989932,0.0,0.0,0.0,0.0,0.6699999999978038,0.32999999999659224,9.85438470349765e-13,3.407752077320523e-12,6.163995997174287e-21,4.497255843790695e-25,1.8942990859650967e-30,1.3862674541168677e-30
7.65722524e-09,0.0831447199998796,0.0,0.0,0.0,0.0,0.6699999999975298,0.329999999996081,1.0221808493363647e-12,3.9191013646602e-12,7.973038591720068e-21,6.533883127347094e-25,3.0893151426349744e-30,2.26079236364118e-30
8.5065718e-09,0.08314471999985923,0.0,0.0,0.0,0.0,0.6699999999972558,0.32999999999556184,1.0511884322905746e-12,4.4381854480306525e-12,1.003664490659245e-20,9.130036043731842e-25,4.788788886449901e-30,3.5044845131014796e-30
9.35591836e-09,0.08314471999983836,0.0,0.0,0.0,0.0,0.6699999999969818,0.32999999999503665,1.0740839257583978e-12,4.963381620885866e-12,1.2358204615014989e-20,1.235979518681934e-24,7.122990607336732e-30,5.2126770130855655e-30
9.999999999999999e-09,0.08314471999981707,0.0,0.0,0.0,0.0,0.6699999999967741,0.32999999999463514,1.0881732726651865e-12,5.3649244740020485e-12,1.429235378480507e-20,1.527733321940825e-24,9.405469305628304e-30,6.883018059248635e-30
1.020526492e-08,0.08314471999981707,0.0,0.0,0.0,0.0,0.6699999999967078,0.32999999999450663,1.092155432897789e-12,5.4934017800678684e-12,1.4940406929017827e-20,1.6298103770975846e-24,1.023846066913548e-29,7.49260957837366e-30
1.1054611480000001e-08,0.08314471999979547,0.0,0.0,0.0,0.0,0.6699999999964338,0.3299999999939728,1.1064161197643496e-12,6.0272327595210536e-12,1.7785365656771152e-20,2.1020611752982324e-24,1.4298161621191697e-29,1.0463539844884497e-29
1.1903958040000001e-08,0.08314471999977363,0.0,0.0,0.0,0.0,0.6699999999961598,0.3299999999934359,1.1176694182636143e-12,6.564071127339883e-12,2.089475575473519e-20,2.6603503705815666e-24,1.9481647490690474e-29,1.425686725980168e-29
1.3602651160000001e-08,0.08314471999972937,0.0,0.0,0.0,0.0,0.6699999999956117,0.3299999999923556,1.1335288721602733e-12,7.644395006074444e-12,2.7911775505998593e-20,4.065731511457479e-24,3.402163046787148e-29,2.4897373835191828e-29
1.5086118402042565e-08,0.08314471999969031,0.0,0.0,0.0,0.0,0.669999999995133,0.32999999999140717,1.1423912423171595e-12,8.592828598370301e-12,3.4915023096214903e-20,5.647948061478453e-24,5.243330967790211e-29,3.837122675302376e-29
1.656958564408513e-08,0.08314471999965105,0.0,0.0,0.0,0.0,0.6699999999946544,0.3299999999904558,1.148264381817922e-12,9.544251421317233e-12,4.273780679061621e-20,7.604332462729232e-24,7.758007205431832e-29,5.677388150256985e-29
1.8053052886127693e-08,0.08314471999961154,0.0,0.0,0.0,0.0,0.6699999999941758,0.3299999999895024,1.1521745784208122e-12,1.0497637187156983e-11,5.138224797381143e-20,9.976303127902974e-24,1.10968015766247e-28,8.120751592566719e-29
1.9536520128170257e-08,0.08314471999957197,0.0,0.0,0.0,0.0,0.6699999999936972,0.3299999999885477,1.1547761899371201e-12,1.1452331538078276e-11,6.084969185381115e-20,1.2805373028083148e-23,1.5426130947030492e-28,1.1288998544186133e-28
2.101998737021282e-08,0.08314471999953232,0.0,0.0,0.0,0.0,0.6699999999932186,0.32999999998759216,1.1565012809605142e-12,1.2407902409487434e-11,7.114101972591639e-20,1.613311053694575e-23,2.0928256936966043e-28,1.5315509898756491e-28
2.2503454612255385e-08,0.08314471999949263,0.0,0.0,0.0,0.0,0.66999999999274,0.32999999998663604,1.1576425834192052e-12,1.336405706945625e-11,8.225682264858817e-20,2.000111818709714e-23,2.780130535197427e-28,2.0345276120699714e-28
