Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11),O(T)(6)
0.0,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,3.226548157716931e-19,3.226549931445385e-19,1.874961758676145e-34,4.368324862472051e-35,1.1231113966995556e-46,8.219049288574882e-47,4.3683248618379974e-35
3.0000000000000002e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,7.967596222237974e-19,7.96760518161183e-19,9.413075124367412e-34,2.193077796780293e-34,9.489146596980596e-46,6.94425894138396e-46,2.1930777962445825e-34
7e-15,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0873769216867664e-18,2.0873824543631392e-18,5.7932544761912136e-33,1.3497244627096851e-33,1.4829667343626794e-44,1.0852509126738361e-44,1.3497244618724743e-33
1.5e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.6686057762947714e-18,4.6686320710849816e-18,2.749694868476406e-32,6.406296221413101e-33,1.4659613661406333e-43,1.0728062023789688e-43,6.406296213136997e-33
3.1e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,9.831040508341316e-18,9.831154281698125e-18,1.18903752111881e-31,2.770244310811362e-32,1.2861791319596456e-42,9.41239641099662e-43,2.7702443035502196e-32
6.300000000000001e-14,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,2.0155818064574677e-17,2.015629061078409e-17,4.937167300890046e-31,1.1502714874501274e-31,1.0749819735951179e-41,7.866833024005206e-42,1.1502714813813017e-31
1.2700000000000001e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.67,0.33,4.080500555214746e-17,4.0806930893849776e-17,2.011353858955425e-30,4.686093945067091e-31,8.78577189008815e-41,6.429521809958165e-41,4.686093895466894e-31
2.55e-13,0.08314472000000002,0.0,0.0,0.0,0.0,0.67,0.32999999999999996,8.210191008007529e-17,8.210968190719812e-17,8.118782311807199e-30,1.8915307193460725e-30,7.103461354315505e-40,5.198388971843871e-40,1.8915306792433813e-30
5.11e-13,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999999,0.3299999999999999,1.6468983776589422e-16,1.647210653039287e-16,3.2623131963438185e-29,7.600604650694859e-30,5.7129488482196256e-39,4.180797051805597e-39,7.600604328169522e-30
1e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2242321853773955e-16,3.2254418109209834e-16,1.2638666333009863e-28,2.9445824229737164e-29,4.4025086149620205e-38,3.2218028771255266e-38,2.944582174429453e-29
1.023e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999998,0.32999999999999974,3.2984217100758093e-16,3.2996735422732923e-16,1.3079680897720128e-28,3.047330899521359e-29,4.582708851757974e-38,3.353675337155658e-38,3.047330640803865e-29
2.047e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999995,0.3299999999999994,6.600527757650858e-16,6.60553993799952e-16,5.238601117164445e-28,1.22049990739984e-28,3.6715290036775963e-37,2.6868641812107578e-37,1.220499700123116e-28
4.095e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999988,0.32999999999999874,1.3200979526060575e-15,1.3221033056190479e-15,2.097298560030624e-27,4.886327641110065e-28,2.9400383015950713e-36,2.1515514633612175e-36,4.886325981306672e-28
8.191e-12,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999975,0.3299999999999974,2.6386858874767904e-15,2.6467043480676996e-15,8.397003137042323e-27,1.9563495428238848e-27,2.3542271933026842e-35,1.7228486295062977e-35,1.9563482137405692e-27
1e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999969,0.3299999999999968,3.21971669361873e-15,3.2330389862538967e-15,1.3970475892414846e-26,3.254866189488994e-27,5.999050342557262e-35,4.390169172474757e-35,3.254862802712148e-27
1.6383e-11,0.08314472000000002,0.0,0.0,0.0,0.0,0.6699999999999948,0.32999999999999474,5.2698657459150256e-15,5.301902444265225e-15,3.363630043500345e-26,7.836641621033157e-27,1.885969498694198e-34,1.3801726400649252e-34,7.836630973748956e-27
3.2767e-11,0.08314471999999999,0.0,0.0,0.0,0.0,0.6699999999999895,0.3299999999999894,1.0508350233165145e-14,1.0636173866274543e-14,1.3490203090069675e-25,3.142964735676889e-26,1.512534062752723e-33,1.1068885923588181e-33,3.1429561966174554e-26
6.5535e-11,0.08314471999999998,0.0,0.0,0.0,0.0,0.669999999999979,0.32999999999997864,2.089068095038992e-14,2.1399354967519866e-14,5.423862737762627e-25,1.2636542002970705e-25,1.2158525007809012e-32,8.897738486589178e-33,1.263647336141351e-25
9.8303e-11,0.08314471999999996,0.0,0.0,0.0,0.0,0.6699999999999684,0.32999999999996776,3.117922827913734e-14,3.225631945719333e-14,1.1566120198771564e-24,2.694672382559654e-25,3.486050941904162e-32,2.551129308564834e-32,2.694652701842294e-25
9.999999999999999e-11,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999678,0.3299999999999672,3.17072419514604e-14,3.2823396530590956e-14,1.1992203420702305e-24,2.7939404565803043e-25,3.6872517595248794e-32,2.6983702142917927e-32,2.793919639966503e-25
1.31071e-10,0.08314471999999995,0.0,0.0,0.0,0.0,0.6699999999999579,0.32999999999995683,4.137483936616284e-14,4.320622018853907e-14,1.97935185583629e-24,4.611476300950138e-25,7.371111868124376e-32,5.394258359160602e-32,4.611434686788723e-25
1.96607e-10,0.08314471999999985,0.0,0.0,0.0,0.0,0.6699999999999368,0.3299999999999347,6.155054382662567e-14,6.532153936470094e-14,4.119639914235874e-24,9.597844725933311e-25,2.021423798534701e-31,1.4792995009951986e-31,9.597730604473602e-25
2.62143e-10,0.08314471999999976,0.0,0.0,0.0,0.0,0.6699999999999157,0.3299999999999123,8.139141552807638e-14,8.77716912996889e-14,7.041208007724513e-24,1.6404352727495496e-24,4.2445256357304685e-31,3.1061891130465505e-31,1.64041130976965e-24
3.2767900000000004e-10,0.08314471999999963,0.0,0.0,0.0,0.0,0.6699999999998946,0.32999999999988955,1.0087903072219001e-13,1.1057509974181188e-13,1.0811356247828745e-23,2.518775937534151e-24,7.754663837053247e-31,5.674945617849398e-31,2.5187321574660603e-24
4.5875100000000005e-10,0.08314471999999926,0.0,0.0,0.0,0.0,0.6699999999998523,0.3299999999998428,1.3880845388896618e-13,1.5722772384687188e-13,2.1026347301920144e-23,4.898550308325121e-24,2.0670848787883235e-30,1.5127147031711916e-30,4.898433606796798e-24
7.208950000000001e-10,0.08314471999999822,0.0,0.0,0.0,0.0,0.6699999999997677,0.3299999999997456,2.1070418297436395e-13,2.544960893025162e-13,5.249676762157442e-23,1.2229967289927543e-23,8.161303569035191e-30,5.972528497618394e-30,1.222950651605759e-23
9.568246000000002e-10,0.08314471999999688,0.0,0.0,0.0,0.0,0.6699999999996915,0.3299999999996538,2.710816426197512e-13,3.4636631474096865e-13,9.382141385549261e-23,2.1856795589338036e-23,1.8894620323792653e-29,1.3827283093808477e-29,2.1855728814033448e-23
9.999999999999999e-10,0.08314471999999525,0.0,0.0,0.0,0.0,0.6699999999996775,0.3299999999996365,2.817168139204683e-13,3.635926525619991e-13,1.0277925346519856e-22,2.3943547298625143e-23,2.1604553366876165e-29,1.5810440672851702e-29,2.394232751903141e-23
